Time,pH,Temp,Dev 0 Stat,Dev 1 Stat
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.657608,6.87,,Connected,trying...
2019-06-07 18:18:54.657608,6.87,,Connected,trying...
2019-06-07 18:18:54.663632,6.87,,Connected,trying...
2019-06-07 18:18:54.663632,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.741170,6.87,,Connected,trying...
2019-06-07 18:18:54.741170,6.87,,Connected,trying...
2019-06-07 18:18:54.741170,6.87,,Connected,trying...
2019-06-07 18:18:54.757805,6.87,,Connected,trying...
2019-06-07 18:18:54.757805,6.87,,Connected,trying...
2019-06-07 18:18:54.763817,6.87,,Connected,trying...
2019-06-07 18:18:54.763817,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.824229,6.87,,Connected,trying...
2019-06-07 18:18:54.824229,6.87,,Connected,trying...
2019-06-07 18:18:54.824229,6.87,,Connected,trying...
2019-06-07 18:18:54.840861,6.87,,Connected,trying...
2019-06-07 18:18:54.840861,6.87,,Connected,trying...
2019-06-07 18:18:54.840861,6.87,,Connected,trying...
2019-06-07 18:18:54.856502,6.87,,Connected,trying...
2019-06-07 18:18:54.857515,6.87,,Connected,trying...
2019-06-07 18:18:54.864024,6.87,,Connected,trying...
2019-06-07 18:18:54.864024,6.87,,Connected,trying...
2019-06-07 18:18:54.874528,6.87,,Connected,trying...
2019-06-07 18:18:54.874528,6.87,,Connected,trying...
2019-06-07 18:18:54.874528,6.87,,Connected,trying...
2019-06-07 18:18:54.890154,6.87,,Connected,trying...
2019-06-07 18:18:54.891160,6.87,,Connected,trying...
2019-06-07 18:18:54.891160,6.87,,Connected,trying...
2019-06-07 18:18:54.891160,6.87,,Connected,trying...
2019-06-07 18:18:54.907793,6.87,,Connected,trying...
2019-06-07 18:18:54.907793,6.87,,Connected,trying...
2019-06-07 18:18:54.907793,6.87,,Connected,trying...
2019-06-07 18:18:54.924425,6.87,,Connected,trying...
2019-06-07 18:18:54.924425,6.87,,Connected,trying...
2019-06-07 18:18:54.941883,6.87,,Connected,trying...
2019-06-07 18:18:54.944330,6.87,,Connected,trying...
2019-06-07 18:18:54.944330,6.87,,Connected,trying...
2019-06-07 18:18:54.957841,6.87,,Connected,trying...
2019-06-07 18:18:54.963876,6.87,,Connected,trying...
2019-06-07 18:18:54.963876,6.87,,Connected,trying...
2019-06-07 18:18:54.974380,6.87,,Connected,trying...
2019-06-07 18:18:54.974380,6.87,,Connected,trying...
2019-06-07 18:18:54.974380,6.87,,Connected,trying...
2019-06-07 18:18:54.990005,6.87,,Connected,trying...
2019-06-07 18:18:54.991011,6.87,,Connected,trying...
2019-06-07 18:18:54.991011,6.87,,Connected,trying...
2019-06-07 18:18:54.991011,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.024283,6.87,,Connected,trying...
2019-06-07 18:18:55.024283,6.87,,Connected,trying...
2019-06-07 18:18:55.024283,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.057551,6.87,,Connected,trying...
2019-06-07 18:18:55.064058,6.87,,Connected,trying...
2019-06-07 18:18:55.064058,6.87,,Connected,trying...
2019-06-07 18:18:55.064058,6.87,,Connected,trying...
2019-06-07 18:18:55.074563,6.87,,Connected,trying...
2019-06-07 18:18:55.074563,6.87,,Connected,trying...
2019-06-07 18:18:55.074563,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.107823,6.87,,Connected,trying...
2019-06-07 18:18:55.107823,6.87,,Connected,trying...
2019-06-07 18:18:55.107823,6.87,,Connected,trying...
2019-06-07 18:18:55.124454,6.87,,Connected,trying...
2019-06-07 18:18:55.124454,6.87,,Connected,trying...
2019-06-07 18:18:55.124454,6.87,,Connected,trying...
2019-06-07 18:18:55.140079,6.87,,Connected,trying...
2019-06-07 18:18:55.141085,6.87,,Connected,trying...
2019-06-07 18:18:55.141085,6.87,,Connected,trying...
2019-06-07 18:18:55.141085,6.87,,Connected,trying...
2019-06-07 18:18:55.157720,6.87,,Connected,trying...
2019-06-07 18:18:55.164227,6.87,,Connected,trying...
2019-06-07 18:18:55.164227,6.87,,Connected,trying...
2019-06-07 18:18:55.164227,6.87,,Connected,trying...
2019-06-07 18:18:55.174235,6.87,,Connected,trying...
2019-06-07 18:18:55.174235,6.87,,Connected,trying...
2019-06-07 18:18:55.174235,6.87,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.207497,6.79,,Connected,trying...
2019-06-07 18:18:55.207497,6.79,,Connected,trying...
2019-06-07 18:18:55.207497,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.240773,6.79,,Connected,trying...
2019-06-07 18:18:55.240773,6.79,,Connected,trying...
2019-06-07 18:18:55.240773,6.79,,Connected,trying...
2019-06-07 18:18:55.257911,6.79,,Connected,trying...
2019-06-07 18:18:55.257911,6.79,,Connected,trying...
2019-06-07 18:18:55.264420,6.79,,Connected,trying...
2019-06-07 18:18:55.264420,6.79,,Connected,trying...
2019-06-07 18:18:55.274428,6.79,,Connected,trying...
2019-06-07 18:18:55.274428,6.79,,Connected,trying...
2019-06-07 18:18:55.274428,6.79,,Connected,trying...
2019-06-07 18:18:55.290054,6.79,,Connected,trying...
2019-06-07 18:18:55.291061,6.79,,Connected,trying...
2019-06-07 18:18:55.291061,6.79,,Connected,trying...
2019-06-07 18:18:55.291061,6.79,,Connected,trying...
2019-06-07 18:18:55.307692,6.79,,Connected,trying...
2019-06-07 18:18:55.307692,6.79,,Connected,trying...
2019-06-07 18:18:55.307692,6.79,,Connected,trying...
2019-06-07 18:18:55.307692,6.79,,Connected,trying...
2019-06-07 18:18:55.324323,6.79,,Connected,trying...
2019-06-07 18:18:55.324323,6.79,,Connected,trying...
2019-06-07 18:18:55.324323,6.79,,Connected,trying...
2019-06-07 18:18:55.340954,6.79,,Connected,trying...
2019-06-07 18:18:55.340954,6.79,,Connected,trying...
2019-06-07 18:18:55.340954,6.79,,Connected,trying...
2019-06-07 18:18:55.340954,6.79,,Connected,trying...
2019-06-07 18:18:55.357590,6.79,,Connected,trying...
2019-06-07 18:18:55.364599,6.79,,Connected,trying...
2019-06-07 18:18:55.364599,6.79,,Connected,trying...
2019-06-07 18:18:55.374105,6.79,,Connected,trying...
2019-06-07 18:18:55.374105,6.79,,Connected,trying...
2019-06-07 18:18:55.374105,6.79,,Connected,trying...
2019-06-07 18:18:55.389730,6.79,,Connected,trying...
2019-06-07 18:18:55.391238,6.79,,Connected,trying...
2019-06-07 18:18:55.391238,6.79,,Connected,trying...
2019-06-07 18:18:55.391238,6.79,,Connected,trying...
2019-06-07 18:18:55.407870,6.79,,Connected,trying...
2019-06-07 18:18:55.407870,6.79,,Connected,trying...
2019-06-07 18:18:55.407870,6.79,,Connected,trying...
2019-06-07 18:18:55.424500,6.79,,Connected,trying...
2019-06-07 18:18:55.424500,6.79,,Connected,trying...
2019-06-07 18:18:55.424500,6.79,,Connected,trying...
2019-06-07 18:18:55.441129,6.79,,Connected,trying...
2019-06-07 18:18:55.441129,6.79,,Connected,trying...
2019-06-07 18:18:55.441129,6.79,,Connected,trying...
2019-06-07 18:18:55.441129,6.79,,Connected,trying...
2019-06-07 18:18:55.457770,6.79,,Connected,trying...
2019-06-07 18:18:55.464779,6.79,,Connected,trying...
2019-06-07 18:18:55.464779,6.79,,Connected,trying...
2019-06-07 18:18:55.474286,6.79,,Connected,trying...
2019-06-07 18:18:55.474286,6.79,,Connected,trying...
2019-06-07 18:18:55.474286,6.79,,Connected,trying...
2019-06-07 18:18:55.474286,6.79,,Connected,trying...
2019-06-07 18:18:55.490916,6.79,,Connected,trying...
2019-06-07 18:18:55.490916,6.79,,Connected,trying...
2019-06-07 18:18:55.490916,6.79,,Connected,trying...
2019-06-07 18:18:55.490916,6.79,,Connected,trying...
2019-06-07 18:18:55.507547,6.79,,Connected,trying...
2019-06-07 18:18:55.507547,6.79,,Connected,trying...
2019-06-07 18:18:55.507547,6.79,,Connected,trying...
2019-06-07 18:18:55.507547,6.79,,Connected,trying...
2019-06-07 18:18:55.524179,6.79,,Connected,trying...
2019-06-07 18:18:55.524179,6.79,,Connected,trying...
2019-06-07 18:18:55.524179,6.79,,Connected,trying...
2019-06-07 18:18:55.539804,6.79,,Connected,trying...
2019-06-07 18:18:55.540810,6.79,,Connected,trying...
2019-06-07 18:18:55.540810,6.79,,Connected,trying...
2019-06-07 18:18:55.540810,6.79,,Connected,trying...
2019-06-07 18:18:55.557445,6.79,,Connected,trying...
2019-06-07 18:18:55.557445,6.79,,Connected,trying...
2019-06-07 18:18:55.564956,6.79,,Connected,trying...
2019-06-07 18:18:55.564956,6.79,,Connected,trying...
2019-06-07 18:18:55.574463,6.79,,Connected,trying...
2019-06-07 18:18:55.574463,6.79,,Connected,trying...
2019-06-07 18:18:55.574463,6.79,,Connected,trying...
2019-06-07 18:18:55.574463,6.79,,Connected,trying...
2019-06-07 18:18:55.591094,6.79,,Connected,trying...
2019-06-07 18:18:55.591094,6.79,,Connected,trying...
2019-06-07 18:18:55.591094,6.79,,Connected,trying...
2019-06-07 18:18:55.591094,6.79,,Connected,trying...
2019-06-07 18:18:55.607738,6.79,,Connected,trying...
2019-06-07 18:18:55.607738,6.79,,Connected,trying...
2019-06-07 18:18:55.607738,6.79,,Connected,trying...
2019-06-07 18:18:55.624368,6.79,,Connected,trying...
